Year,Dis Mag Scale,Dis Mag Value,Country,Longitude,Latitude,Disaster Type
1965.0,0,47350.38030731904,26,2376,1242,5
1965.0,0,47350.38030731904,25,2376,1242,1
1965.0,0,47350.38030731904,34,2376,1242,10
1965.0,0,47350.38030731904,193,2376,1242,10
1965.0,2,7.0,39,265,289,2
1965.0,0,47350.38030731904,39,2376,1242,10
1965.0,0,47350.38030731904,39,2376,1242,5
1965.0,1,47350.38030731904,39,2376,1242,12
1965.0,0,47350.38030731904,40,2376,1242,1
1965.0,0,47350.38030731904,41,2376,1242,10
1965.0,0,47350.38030731904,56,2376,1242,14
1965.0,2,6.0,2,1696,1536,2
1965.0,0,47350.38030731904,57,2376,1242,5
1965.0,0,47350.38030731904,63,2376,1242,1
1965.0,1,47350.38030731904,64,2376,1242,12
1965.0,2,6.0,76,1447,1799,2
1965.0,1,47350.38030731904,86,2376,1242,12
1965.0,3,47350.38030731904,85,2376,1242,3
1965.0,0,47350.38030731904,85,2376,1242,1
1965.0,0,47350.38030731904,85,2376,1242,5
1965.0,4,47350.38030731904,89,2376,1242,4
1966.0,0,47350.38030731904,90,2376,1242,1
1966.0,0,47350.38030731904,7,2376,1242,5
1966.0,1,47350.38030731904,3,2376,1242,12
1966.0,1,47350.38030731904,6,2376,1242,12
1966.0,1,47350.38030731904,18,2376,1242,12
1966.0,0,47350.38030731904,29,2376,1242,1
1966.0,1,47350.38030731904,15,2376,1242,12
1966.0,0,47350.38030731904,15,2376,1242,5
1966.0,1,47350.38030731904,13,2376,1242,12
1966.0,1,47350.38030731904,13,2376,1242,12
1966.0,0,47350.38030731904,23,2376,1242,5
1966.0,0,47350.38030731904,23,2376,1242,5
1966.0,0,47350.38030731904,26,2376,1242,10
1966.0,0,47350.38030731904,26,2376,1242,5
1966.0,0,47350.38030731904,26,2376,1242,5
1966.0,1,47350.38030731904,26,2376,1242,12
1966.0,0,47350.38030731904,26,2376,1242,5
1966.0,1,120.0,34,2376,1242,12
1966.0,2,8.0,39,250,217,2
1966.0,1,47350.38030731904,48,2376,1242,12
1966.0,1,47350.38030731904,56,2376,1242,12
1966.0,0,47350.38030731904,2,2376,1242,5
1966.0,0,47350.38030731904,57,2376,1242,10
1966.0,0,47350.38030731904,212,2376,1242,10
1966.0,1,47350.38030731904,78,2376,1242,12
1966.0,2,6.0,76,1421,1783,2
1966.0,2,6.0,76,1423,1653,2
1966.0,1,47350.38030731904,86,2376,1242,12
1966.0,0,47350.38030731904,86,2376,1242,10
1966.0,0,47350.38030731904,86,2376,1242,1
1966.0,0,47350.38030731904,86,2376,1242,5
1966.0,1,47350.38030731904,84,2376,1242,12
1966.0,0,47350.38030731904,90,2376,1242,13
1966.0,0,47350.38030731904,90,2376,1242,13
1966.0,0,47350.38030731904,90,2376,1242,5
1966.0,1,47350.38030731904,89,2376,1242,12
1967.0,2,6.0,90,879,265,2
1967.0,2,7.0,1,1386,1955,2
1967.0,0,47350.38030731904,7,2376,1242,5
1967.0,0,47350.38030731904,9,2376,1242,14
